N2C3W4_E.BPP: OK (Solução = 47, Bins usados = 47)
N2C3W4_F.BPP: OK (Solução = 45, Bins usados = 45)
N2C3W4_G.BPP: OK (Solução = 44, Bins usados = 44)
N2C3W4_H.BPP: OK (Solução = 44, Bins usados = 44)
N2C3W4_I.BPP: OK (Solução = 44, Bins usados = 44)
N2C3W4_J.BPP: OK (Solução = 43, Bins usados = 43)
N2C3W4_K.BPP: OK (Solução = 47, Bins usados = 47)
N2C3W4_L.BPP: OK (Solução = 45, Bins usados = 45)
N2C3W4_M.BPP: OK (Solução = 44, Bins usados = 44)
N2C3W4_N.BPP: OK (Solução = 45, Bins usados = 45)
N2C3W4_O.BPP: OK (Solução = 45, Bins usados = 45)
N2C3W4_P.BPP: OK (Solução = 45, Bins usados = 45)
N2C3W4_Q.BPP: OK (Solução = 46, Bins usados = 46)
N2C3W4_R.BPP: OK (Solução = 42, Bins usados = 42)
N2C3W4_S.BPP: OK (Solução = 42, Bins usados = 42)
N2C3W4_T.BPP: OK (Solução = 46, Bins usados = 46)
N3C1W1_A.BPP: OK (Solução = 105, Bins usados = 105)
N3C1W1_B.BPP: OK (Solução = 114, Bins usados = 114)
N3C1W1_C.BPP: OK (Solução = 99, Bins usados = 99)
N3C1W1_D.BPP: OK (Solução = 108, Bins usados = 108)
N3C1W1_E.BPP: OK (Solução = 98, Bins usados = 98)
N3C1W1_F.BPP: OK (Solução = 113, Bins usados = 113)
N3C1W1_G.BPP: OK (Solução = 111, Bins usados = 111)
N3C1W1_H.BPP: OK (Solução = 104, Bins usados = 104)
N3C1W1_I.BPP: OK (Solução = 100, Bins usados = 100)
N3C1W1_J.BPP: TEMPO EXCEDIDO
N3C1W1_K.BPP: OK (Solução = 102, Bins usados = 102)
N3C1W1_L.BPP: OK (Solução = 97, Bins usados = 97)
N3C1W1_M.BPP: OK (Solução = 106, Bins usados = 106)
N3C1W1_N.BPP: OK (Solução = 93, Bins usados = 93)
N3C1W1_O.BPP: OK (Solução = 98, Bins usados = 98)
N3C1W1_P.BPP: OK (Solução = 108, Bins usados = 108)
N3C1W1_Q.BPP: OK (Solução = 98, Bins usados = 98)
N3C1W1_R.BPP: OK (Solução = 99, Bins usados = 99)
N3C1W1_S.BPP: OK (Solução = 100, Bins usados = 100)
N3C1W1_T.BPP: OK (Solução = 102, Bins usados = 102)
N3C1W2_A.BPP: OK (Solução = 125, Bins usados = 125)
N3C1W2_B.BPP: OK (Solução = 126, Bins usados = 126)
N3C1W2_C.BPP: OK (Solução = 125, Bins usados = 125)
N3C1W2_D.BPP: OK (Solução = 139, Bins usados = 139)
N3C1W2_E.BPP: OK (Solução = 132, Bins usados = 132)
N3C1W2_F.BPP: OK (Solução = 123, Bins usados = 123)
N3C1W2_G.BPP: OK (Solução = 132, Bins usados = 132)
N3C1W2_H.BPP: OK (Solução = 129, Bins usados = 129)
N3C1W2_I.BPP: OK (Solução = 126, Bins usados = 126)
N3C1W2_J.BPP: OK (Solução = 126, Bins usados = 126)
N3C1W2_K.BPP: OK (Solução = 120, Bins usados = 120)
N3C1W2_L.BPP: OK (Solução = 136, Bins usados = 136)
N3C1W2_M.BPP: OK (Solução = 136, Bins usados = 136)
N3C1W2_N.BPP: OK (Solução = 136, Bins usados = 136)
